id_noticia,author_id,tweet_id,created_at,site,text,rotulacao_manual,id_rotulador
22,390540335,1409510298579570699,2021-06-28,G1,"morre em confronto, segundo a pm",0,M
18,2606714200,1163791130938486786,2019-08-20,G1,parabéns por identificar um sniper camuflado,1,G
26,1398357042,1390373254154575873,2021-05-06,Uol,operação com 25 mortos no jacarezinho é a mais letal da história do rio,0,S
18,79226451,1163942221449715712,2019-08-20,UOL,já teve minimi,0,S
23,23268961,1262814697222483970,2020-05-19,G1,"morreu como? ele foi assassinado de forma covarde e absurda pelas forças do estado o grupo globo continua ao lado da barbárie, continua protegendo assassinos de crianças pobres e negras a família de roberto marinho segue sua tradição",-1,M
26,1384980721605955585,1390368283665305606,2021-05-06,Uol,vamos dobrar a meta,0,G
18,359977465,1163907779083624449,2019-08-20,G1,"o atirador de elite fez certo mesmo, ótimo trabalho por sinal da polícia na ponte rioniterói hoje!",1,M
26,87210017,1390475715242561538,2021-05-07,Folha,"fico chocada com as pessoas, eles juram que desses mortos, fora o policial, todos eram bandidos ainda não entenderam que a arma não caça bandido, por isso bala perdida, podem ter pessoas inocentes mortas ali também",-1,M
25,924962573090508800,1359860359193100293,2021-02-11,UOL,"relembrar é viver canudos (mataram mulheres e crianças, paraguai (mataram crianças ditadura enfiavam ratos em genitália de mulheres e tb torturaram crianças 80 tiros stm decide soltar militares presos p/mortes de músico e catador",-1,G
23,126720753,1262804219096072192,2020-05-19,G1,assassinado! jornalismo incompetente!,-1,S
22,750408019,1409520131680710657,2021-06-28,UOL,agora vai virá um martín pqpbandido aqui no brasil vira celebridade,-1,G
26,1061586918,1390701077553688576,2021-05-07,Folha,"faz o seguinte entra lá no morro e leva eles pra sua casalá vc canta, faz um cafezinho, que tal? lamento pelo policial",-1,M
26,2728335233,1390745100385460235,2021-05-07,Folha,"até onde sei, só morreu bandido e graças a deus somente um policial não vejo problema na morte desses vagabundos",1,M
20,67690771,1175467091123757062,2019-09-21,Folha,por que vocês não deixam a hipocrisia e canalhice e não divulgam a verdade a manchete honesta seria 'policia do rio mata criança de 8 anos!,-1,G
25,1115040111249559552,1115317950326689792,2019-04-08,G1,"discordo em o exército disser que foi um erro, afinal 80 tiros e um absurdo agora a senhora vim disser que se tratar de um abate de negros ai e demais, afinal só tinha soldados loiros com olhos verdes atirando no carro?",-1,G
24,4906346963,1278477805446184960,2020-07-01,G1,"g1 disse que não sabe a origem do disparo mas é aquele negócio de ""realmente não sabemos"" ou é aquele negócio de ""tem nada oficial, mas todo mundo sabe q foi da polícia"" ???",0,G
25,89839236,1115215609665662977,2019-04-08,Folha,as digitais dos outros ministros da justiça aparecem nas cenas dos outros milhares de assassinatos que já aconteciam todos os anos ali naquelas regiões?,-1,M
25,3816013996,1115239898741706753,2019-04-08,G1,"se o pacote anticrime, proposto pelo ministro moro do governo bolsonaro, for aprovado, estes",0,S
25,1079980128011198464,1115239273639313409,2019-04-08,G1,o gari liberal kkkkkk,0,G
23,878642304273321984,1262778227132706816,2020-05-19,G1,vai tomar no seu cu ele não tinha envolvimento com nada,-1,G
22,962863135,1409550605094424588,2021-06-28,UOL,que prusão!? os caras mandaram foi bala!,-1,S
26,1194072984065101824,1390431884853878787,2021-05-06,Uol,"favelado nem tem etnia favelado é favelado né? o favelado tem sua propriedade privada invadida com apoio da população ""de bem"" sedenta por sangue de pobre",-1,S
22,1384547449671495684,1409502246182793223,2021-06-28,G1,"uai mas ele nem chegou a ser preso, não morreu no hospital?",0,S
25,1077918500033908737,1115341141673750529,2019-04-08,G1,esse marxismo é uma doença grave que mata os neurônios!,-1,G
25,953780071772442624,1123716348364972032,2019-05-01,Folha,essa fatura quem paga,-1,G
25,60428407,1131660275931844608,2019-05-23,UOL,"""por 11 votos a 3, os ministros do stm decidiram na tarde de hoje conceder liberdade aos nove militares envolvidos na ação que resultou na morte do músico evaldo rosa dos santos, cujo carro foi alvejado com 83 tiros no dia 7 de abril""",0,S
25,992724893212004352,1115308714020548610,2019-04-08,G1,"se não são preparados, não podem fazer, os hospitais não tem médicos suficientes, vc coloca os recepcionistas para atender, me poupe e se poupe, está errado que colocou eles lá, cadê o que recebe uma fortuna para cuidar disso, fazendo mais cágada que um estagiário",-1,G
22,14308778,1409506586956083201,2021-06-28,G1,"ele teve um passamento, foi?",0,S
21,904376525176401927,1457007997910192140,2021-11-06,Folha,"essa extremaesquerda nojenta acha que o povo é bobo os lulopetistas/psolistas e afins adorariam editar o vídeo para manipular a opinião contra os policiais, mas as imagens mostram a mulher resistindo a extremaesquerda sim é próxima do fascismo, e não a polícia",-1,G
22,4906182285,1409510699886419970,2021-06-28,G1,"porque serial killer? a polícia assassino a um suspeito, isso e crimen",-1,S
20,167999129,1175470918207975426,2019-09-21,Folha,e o e de braços cruzados e a cumplice dessa carnificina,-1,S
21,1456309387174236168,1457047739741741063,2021-11-06,G1,inacreditável a sequência de erros e o despreparado total na segurança pública do nosso país,-1,G
24,3047345196,1278367849661202432,2020-07-01,G1,"quando eu falo que o rio de janeiro acabou é isso! 4 exgovernadores criminosos, superfaturamento numa crise sanitária, tráfico, milícia causando degradação do meio ambiente e inclusive a mãe de uma amiga que está sendo extorquida pela milícia",-1,G
20,90425731,1175417828071133185,2019-09-21,G1,"nesta sexta, agata felix, uma menina de 8 anos morreu ao ser atingida pelas costas dentro de uma van no complexo do alemão durante uma operação da pm",0,S
24,942248590193430528,1278415840342413312,2020-07-01,G1,"ata e confundir uma criança com um traficante é super normal, no cala a boca",-1,G
25,14418857,1299046977032904705,2020-08-27,UOL,você realmente está indignado com o homem alvejado nos eua?,0,S
20,1720481744,1175470568226918401,2019-09-21,Folha,"genocídio substantivo masculino 1 extermínio deliberado, parcial ou total, de uma comunidade, grupo étnico, racial ou religioso",-1,M
25,1090319940215861248,1115261005653786625,2019-04-08,G1,"militares atiraram por engano contra a família, segundo relatos de testemunhas e parantes",-1,M
21,1444331460954103815,1457197436573782019,2021-11-07,G1,faltou fala que a mulher estava aramada,-1,G
25,40987082,1115206106958258176,2019-04-08,G1,"as explicações do exército neste caso deixam claro que é política das forças de segurança dar desculpa esfarrapada quando fazem bobagem e depois, caso a desculpa seja desacreditada, inventa outra",0,S
20,762416278938066947,1175462106306621440,2019-09-21,G1,não dá para curtir uma notícia dessa,-1,G
22,1365066328961384448,1409518495046451210,2021-06-28,G1,bandido bom é bandido rico,0,M
24,40559948,1278338010677940226,2020-07-01,G1,"kkkkkk, bandido cumpre pena? policial é aliviado? que país você vive irmão? vai pesquisar, nossas leis são as mais brandas possíveis com criminosos, os policiais são excluídos porque qualquer motivo",-1,S
21,167051383,1457081808030404611,2021-11-06,Folha,"isso mesmo, roberto, deixe o tempo levar sua tristeza embora ter chifres não é o fim do mundo levanta, chacoalha a poeira e bia que segue mas procure ajuda para tratar seu vício em lamber botas, isso não é saudável tome ivermectina, vc sabe, botas, chão vermes ",0,M
21,2377916958,1457151061890904071,2021-11-07,Folha,"parece que ela estava ocultando uma arma, e por isso não soltava a criança",0,S
24,1274919137270259714,1279093258698842120,2020-07-03,G1,"são um pouco mais de 57 mil pessoas segundo o jornal americano los angeles times não temos porque xingar, sabemos que o brasil não é muito chegado à sua história, por causa da manipulação educacional, mas fazemos o melhor que podemos",-1,G
23,3394837900,1262909927674253312,2020-05-20,G1,falo comunistinha já sei q tem pinto pequeno,-1,G
22,1343263927908630529,1409532700629864449,2021-06-28,G1,"a "" inteligência"" da puliça",-1,G
22,729104491233021952,1409502949936668673,2021-06-28,G1,agora só falta o genocida,0,S
24,1455004730,1278636769525841920,2020-07-02,Folha,ministro do stf proibiu policia militar de intervir e os traficantes a vontade e a população a mercê,-1,S
20,884580123059605505,1175579994015313920,2019-09-22,Folha,aonde está sendo encarado com naturalidade?,0,M
24,2879776479,1278511743451488256,2020-07-02,G1,mano que inferno puta que pariu,-1,G
20,905238935609237504,1175480411885096962,2019-09-21,Folha,só aprovar o projeto do moro pronto!!!,0,S
22,1157055724343705606,1409651336853934087,2021-06-28,UOL,não acho correto essa comemoração!!! entendo o sentimento de alívio mas fico triste,-1,S
20,1170455940627345408,1175514019383402497,2019-09-21,G1,faz uma charge dos traficantes tb,0,M
24,2352405212,1278383362110115847,2020-07-01,G1,"desculpa se você acha ridículo a casa real ter financiado o quilombo do leblon, ter abolido a escravidão, ter proposto uma reforma agrária para dar terra aos negros, por não aceitar escravos trabalham no palácio e remunerar todos com salários que trabalhavam lá dentro",-1,G
24,3398702590,1278384723920896001,2020-07-01,Folha,a manchete tá errada pq??,0,M
23,1260690916966268928,1262726305700876289,2020-05-19,G1,"*polícia atira e sequestra menino de 14 anos no rio de janeiro, familiares não sabem se os primeiros socorros foram prestados corretamente, desavisados do paradeiro, encontraram o corpo da criança no iml*",-1,S
23,1151565254146609153,1262917886613639171,2020-05-20,G1,"mas foi o bandido q disparou em direção aos policiais e jogou uma fucking granada neles n to defendendo os policiais, fizeram errada mas tb n da pra passar pano pra bandido q usa pessoas como escudo",-1,S
26,1414150459,1390353506738057218,2021-05-06,G1,"tirando que diversos projetos foram parados inclusive a vacinação, as pessoas n podia sair de casa!!! um absurdo",-1,G
25,1054531835445891072,1115283781836070912,2019-04-08,Folha,muito triste mas os soldados fardados os confundiram com criminosos? por que? não atenderam à ordem da autoridade? temeram os soldados? e quem tem disseminado um discurso lunático de desconfiança e medo contra os militares?,-1,G
21,1263684961795821568,1457829898458894349,2021-11-08,Folha,"e onde está a arma, senhor cidadão de bem? onde está a arma? onde?",-1,G
24,1252755136134471680,1278310899590275077,2020-07-01,G1,"misericórdia, meu pai!!",-1,S
22,1298401602781487107,1409531915447767042,2021-06-28,G1,"tá chorando pelo teu bandido de estimação, boiolinha do bostanaro?",-1,G
23,1221888781076267009,1263484807864102915,2020-05-21,G1,"na real, tem mais cara de ser o tiozao militante",0,G
22,1362174418219372550,1409526191728513024,2021-06-28,G1,"olhe o exemplo de nossa imprensa veja o que sugere que foi morto depois de preso, nem fala de troca de tiros imprensa marron, parabens aos policiais de goias, pela limpeza lázaro barbosa morre após ser preso em goiás, diz polícia",1,S
23,751602189039181824,1262741303248465927,2020-05-19,G1,sim mas o q tem a ver uma coisa com a outra?,0,G
26,1155591686086713347,1390431360117002241,2021-05-06,Folha,outra defensora de bandidos esquerdista tem tara por criminoso até ser vítima de um se bem que lula,-1,G
20,41114642,1175443247436640257,2019-09-21,Folha,para os nossos líderes guerreiros um mero efeito colateral menina de oito anos morre baleada no rio de janeiro,-1,S
18,67343291,1163750698678411264,2019-08-20,G1,"um helicóptero e um sniper, fim do problema",0,S
24,1246309789950410753,1278316690691031040,2020-07-01,G1,"eu tenho um prof da faculdade q fala q a gnt é torturado com notícias trágicas pra gente n ficar + surpreso, pq vamos estar tão acostumado com o caos q nd + nos sensibilize, mas poxa, fazer isso com as crianças?! e dpois flam em defesa da familia trad brasileira",-1,G
24,1087866606208847873,1278353612461223937,2020-07-01,G1,"notem a diferença no tratamento da imprensa e da militância de quando uma mesma criança, pobre e negra morre pelas mãos dos tráfico ao invés de operações",-1,S
24,4020512643,1278502352396472321,2020-07-02,G1,vai tomar no cu ate quando isso,-1,M
24,875430175,1278313302813278210,2020-07-01,G1,se fosse no leblon,0,S
18,51978836,1163798778413010944,2019-08-20,G1,"os hipócritas de plantão já estão querendo justificar e comparar a morte de garotos inocentes nos últimos dias, com a de um bandido que sequestrou um",-1,M
25,280576902,1115219296114937857,2019-04-08,Folha,indiretamente sim,0,G
25,84132743,1380968874343022595,2021-04-10,Folha,"nossa, as instituições públicas do brasil são um arauto de perfeição, que o diga as militares aqui mesmo não!",0,S
21,387845790,1456970219570835462,2021-11-06,UOL,"que povo que nada, a polícia existe pra defender vidraça de banco e abaixar a cabeça pra rico",-1,M
18,117547180,1163841833002250241,2019-08-20,Folha,hahaha se fudeu!,0,M
25,204137010,1115254119474896897,2019-04-08,G1,"foram 80 tiros, não você não leu errado oitenta tiros oitenta tiros que mataram um civil negro desarmado, um pai de família que estava indo a um chá de bebê, ""ele ser negro foi apenas uma coincidência"", você realmente acredita nisso?",-1,S
24,928905079037587456,1278785276178030614,2020-07-02,UOL,"isso sem contar que 90% das pessoas que praticam furto hoje são soltas em audiência de custódia, mesmo os reincidentes, o que faz um marginal cometer crimes violentos é a certeza da impunidade, pois se for preso em breve estará nas ruas, quem mata tem que pegar perpétua",-1,S
22,143414786,1409519800255135745,2021-06-28,G1,por quê vocês não falam das pessoas que ele não matou ?,-1,M
25,310029953,1115673676526100480,2019-04-09,G1,esto pasa cuando se usa militares para problemas de seguridad pública discurso del populismo penal de la derecha deja un padre de familia muerto después de que militares dispararan 80 tiros contra auto con familia adentro,0,M
24,79810129,1278281616876613633,2020-07-01,G1,"sem resposta a ofensas amigo, acredito sobretudo no respeito é possível opinar, debater, criticar sem agredir, tente!",0,S
18,1084521298234089472,1163880163173699585,2019-08-20,Folha,rj só se conserta com snipers em cada esquina #bope #pmrj parabéns!,1,S
18,247140926,1163866017518559235,2019-08-20,UOL,absurdo ainda ter gastado tempo e recurso para tentar salvar isso!!!,-1,S
18,1087516737170485248,1163800260105375744,2019-08-20,UOL,"parabéns aos policias  ! honraram a farda e protegeram a população, merecem todos os elogios",1,S
26,131827409,1390638370976583681,2021-05-07,Folha,menos 25!! ainda há muito trabalho!,1,M
25,90105122,1115015756801085440,2019-04-07,G1,"até agora sem informação correta sobre o que houve agora a pouco aqui no rio o g1 confundiu mais do que esclareceu todo mundo perdido afinal, o exército executou uma família ""por engano"" aqui no rio?????????????",0,S
18,1112414637390290944,1163985154471354369,2019-08-21,UOL,"não acredito que tem gente defendendo um sequestradogente, é um sequestrador, ele poderia ter matado todo mundo dentro do ônibus, e ser um bom filho ou ter depressão não justifica ele pôr a vida de mais de 30 pessoas em risco",-1,G
24,2352405212,1278406097943003138,2020-07-01,G1,"quem iria ficar como primeiro ministro é quem o congresso escolher, o rei ao tenho dúvida entre a família dos bragança e de leopoldina, mas iria na de leopoldina por serem mais liberais e quererem igualdade e o fim do racismo",0,M
21,2570291731,1457764364107268097,2021-11-08,G1,"e oq a policia fez ali foi proteger todos a volta, a mulher estava armada e era uma criminosa quer oq? quer q a policia pedisse educadamente p/ a mulher soltar a criança e se entregasse? o marido dela estava ali, sabese se ele estava armado tb? usar uma criança como escudo é ",-1,M
21,1263684961795821568,1457822820495413249,2021-11-08,Folha,"ou seja, você é tão cidadão de bem que realmente não se importa se um policial joga uma jovem no chão (segurando um bebê e coloca o joelho em seu pescoço enquanto ela (claramente, por prova em video tenta proteger o bebê onde está a tal arma?",-1,M
18,3330184037,1163949854139277317,2019-08-20,Folha,por sorte ele estava com arma de brinquedo mas um homem desse armado com um fuzil dos que o presidente liberou a venda o problema sería bem maior !,-1,S
25,1058008069668593664,1115267518694866945,2019-04-08,G1,"o lixo, fica caladinha fica!! favor que tu faz!!",0,M
21,1441823815693049871,1457083926191742978,2021-11-06,Folha,"eu não estava lá, assim como você também não estava então nem eu e nem você podemos afirmar nada",0,S
24,2685116886,1279690165242527744,2020-07-05,G1,apagou a conta kkkkkkkk,0,G
21,1291193623829258241,1456957401450618882,2021-11-06,UOL,só avança para um lado… zona oeste nada!!!,-1,G
21,1338286496172929025,1457056793520185345,2021-11-06,G1,"verdade né, melhor acreditar no cara e na mulher armada",-1,G
26,268438469,1390727092866887680,2021-05-07,Folha,"@ vc está a me fazer 1 consulta jurídica? mas, convenhamos, essa estratégia está bastante batida, pois, todos sempre alegam a mesma coisa apesar, q faz sentido né? antes ele do que eu te faço outra pergunta, mas, quem atirou primeiro? um lado falará q é os bandidos e o outro",-1,G
26,37910818,1390373227751428096,2021-05-06,Uol,em plena pandemia e com as operações proibidas operação com 25 mortos no jacarezinho é a mais letal da história do rio via,-1,G
20,982036533535494144,1175774166814998529,2019-09-22,Folha,"quando se vive com o medo constante de ser a próxima vítima da violência, se aceita qualquer coisa como solução, até a violência um estado corrupto e elitista não trabalha sério para resolver o problema e uma população cheia de todos os tipos de preconceitos muito menos",-1,G
18,1057657262699880448,1163797865099071489,2019-08-20,Folha,arma de brinquedo importante dizer,-1,S
23,818346272,1262741964585197568,2020-05-19,G1,"polícias viraram bandidos, então essa sua comparação dentro da comunidade da no mesmo, ambos são bandidos aquele servi e proteger nem deveria mais fazer parte do juramento de um policial",-1,S
20,1053773268841385984,1175459812278231041,2019-09-21,G1,"polícia despreparada, corporação doente psicologicamente, sem treinamento, salário de fome, num estado falido só fazem tudo errado e o bandido se aproveita disso pra botar a culpa sempre na pm pq é uma polícia falida e sem moral mata por matar já entra esculachando morador",-1,M
20,895327575102427137,1175472356493529089,2019-09-21,Folha,nossa!! a o invés de tentar explicar da outra notícia que não tem nada a ver,0,S
20,918242723060207616,1175405188066226176,2019-09-21,UOL,mundo ta perdido mesmo cara,-1,M
20,26004024,1175492560149766144,2019-09-21,Folha,"e se agatha, morta ontem pelo estado, fosse uma menina loira do leblon? menina de oito anos morre baleada no rio de janeiro",-1,M
22,1016699688664403968,1409518842448068608,2021-06-28,G1,"você nem sabe o que é polícia e nem sabe onde você mora, menina",0,M
23,751602189039181824,1262725516165025792,2020-05-19,G1,vai se foder pq caralhos a policia ta fazendo operação no meio da paneemia?,-1,M
18,1130288400479739904,1163855271325831168,2019-08-20,Folha,e a gasolina era fanta laranja kkkkkk,0,S
21,3570663677,1457046757968424963,2021-11-06,G1,nada justifica toda essa brutalidade pra imobilizar uma mulher com uma criança no colo policiais completamente despreparados,-1,S
23,482469002,1262736663601573889,2020-05-19,G1,"pronto, mais um para aumentar o número de óbitos causados pelo covid19",-1,G
21,4509142829,1457050650165063692,2021-11-06,G1,"eu uso droga??? kkkkkkk tu tem que ser estudado, sem droga ja ficou assim",-1,G
22,1075021262739685376,1409514648555114499,2021-06-28,G1,falou falou falou bostapq nem procura saber de toda a historiaq ele ja teve justiçajustiça falha q poderia ter evitado mais mortes,-1,S
26,38068975,1390656076207566848,2021-05-07,Folha,"de 2019 para 2020, o número de casos passou de 20105 para 21764 e de 3002 para 3181, respectivamente casos de latrocínio adota um deles a polícia errou tá muito atrás",0,S
22,1257071037235236884,1409515722812923909,2021-06-28,G1,"250 policiais, levaram 20 dias para prender um meliante ""pé de chinelo"", e ainda comemoram? dois policiais baianos, foram mais que suficientes para eliminar o cap adriano m nóbrega, instrutor da ""tropa de elite"" do rj, fortemente armado, no sertão da ba nenhum comemorou",-1,M
26,4616506216,1390551558459375617,2021-05-07,Folha,deixa eu ajudar a ajeitar mais ainda teu cu !!!! kkkkk,-1,G
18,52720920,1163781374857424896,2019-08-20,G1,homem armado=bandido,-1,M
18,43175439,1163793064223268864,2019-08-20,G1,bandido bandido bandido bandido bandido globolixo parem de defender bandidos,-1,S
24,1210356711565012998,1278332558762299392,2020-07-01,G1,traficante matando mais crianças que a polícia nos seus sonhos só,-1,M
26,795574797975638016,1390736703493656577,2021-05-07,Folha,"não dá conta pq estão indo pelo caminho de enxugar gelo não tem uma investigação que procure onde as drogas estão sendo plantadas/fabricadas, ou de onde as armas estão vindo e eu tenho certeza que nenhum secretário de segurança pública é burro pra achar que isso é produzido +",-1,G
24,1213094947999477760,1278391593964371969,2020-07-01,G1,deixa de ser burro,0,M
25,61752537,1115295269556510722,2019-04-08,Folha,brasil | exército dispara 80 tiros em carro de família no rio e mata músico,-1,M
21,1422224520337928192,1457047041822101507,2021-11-06,G1,"esclarecedor isso , tava com outra impressão do vídeo kk",0,S
20,941742357015355392,1175457651603456001,2019-09-21,G1,olha o nick desse twitter jesus cristo!!! deveria achar quem tá por trás dessa conta para recomendar algum psicologo ir até o sujeito totalmente fora de si!,0,G
25,864783928883806208,1115198646323220482,2019-04-08,G1,alegar legítima defesa é improvável pelo conjunto probatório a utilização de legislação militar para proteger os militares da prisão em flagrante é um absurdo!! militares e segurança pública é um grande engodo homem morre em ação do exército rio,-1,G
20,1339940154,1175473265348886528,2019-09-21,Folha,reflitamos que essa deveria ser uma das vozes da voz da razão nesse nosso executivo #novaidademedia,0,M
25,1016750186297688064,1115296430304964608,2019-04-08,G1,#top5posts #esquerda 1 quebrando o tabu (link 2 revista fórum (link 3 quebrando o tabu (link 4 manuela d'ávila (link 5 brasil 247 (link,0,M
24,1035265725089427456,1278441487378853890,2020-07-01,G1,"para com essa porra o doentao, se a porra de um inocente morre é a polícia? mlk retardado",-1,M
20,3806879902,1175471193056579586,2019-09-21,Folha,"não é o que ele deve fazer,monica",0,M
20,408103343,1175540110055608321,2019-09-21,Folha,"porque os políticos roubaram tudo lembra do cabral amigão do lula , então acho que você não sabe, ele roubou o estado do rj acabou com emprego , segurança , edução , saúde , agora para resolver é difícil",-1,G
23,1237814672574873601,1262801338045476869,2020-05-19,G1,menino é assassinado ****,-1,G
18,44370113,1163876670455111680,2019-08-20,G1,pela manhã vc disse que o caso do ônibus foi praticado por um policial e até agora não o vi se retratar,0,S
21,167051383,1457007950791389184,2021-11-06,Folha,"obrigada por esclarecer imaginei que não teria sido em vão, mas como sempre, para a velha imprensa, o bandido é a vítima e os policiais são os bandidos  cansada disso",-1,S
18,1053658320937148416,1163753852908244999,2019-08-20,G1,meus deus que realidade cruel que os passageiros fiquem bem,-1,M
